GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dev.oak3:sbs4j,dev.oak3.sbs4j,DeserializerBuffer,29,259,3,1,6,62,4,16,2,16
dev.oak3:sbs4j,dev.oak3.sbs4j,SerializerBuffer,18,357,3,17,2,85,3,26,0,19
dev.oak3:sbs4j,dev.oak3.sbs4j.helper,StringByteHelper,49,91,3,5,8,14,3,5,1,3
dev.oak3:sbs4j,dev.oak3.sbs4j.exception,ValueSerializationException,5,4,0,0,2,2,1,1,1,1
dev.oak3:sbs4j,dev.oak3.sbs4j.exception,InvalidByteStringException,4,0,0,0,2,0,1,0,1,0
dev.oak3:sbs4j,dev.oak3.sbs4j.exception,NoSuchTypeException,4,0,0,0,2,0,1,0,1,0
dev.oak3:sbs4j,dev.oak3.sbs4j.exception,ValueDeserializationException,9,0,0,0,4,0,2,0,2,0
