GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dev.oak3:sbs4j,dev.oak3.sbs4j,DeserializerBuffer,78,345,5,5,18,84,5,21,2,19
dev.oak3:sbs4j,dev.oak3.sbs4j,SerializerBuffer,21,390,3,23,3,91,4,30,1,20
dev.oak3:sbs4j,dev.oak3.sbs4j.util,ByteUtils.HexCase,39,0,0,0,7,0,3,0,3,0
dev.oak3:sbs4j,dev.oak3.sbs4j.util,ByteUtils,104,122,15,9,12,20,13,7,3,5
dev.oak3:sbs4j,dev.oak3.sbs4j.exception,ValueSerializationException,5,4,0,0,2,2,1,1,1,1
dev.oak3:sbs4j,dev.oak3.sbs4j.exception,NoSuchTypeException,4,0,0,0,2,0,1,0,1,0
dev.oak3:sbs4j,dev.oak3.sbs4j.exception,ValueDeserializationException,4,5,0,0,2,2,1,1,1,1
